run_name,run_group,mAP50_mean,mAP50_D00,mAP50_D10,mAP50_D20,mAP50_D40,mAP50-95_mean,mAP50-95_D00,mAP50-95_D10,mAP50-95_D20,mAP50-95_D40,Box-P_mean,Box-P_D00,Box-P_D10,Box-P_D20,Box-P_D40,Box-R_mean,Box-R_D00,Box-R_D10,Box-R_D20,Box-R_D40,Box-F1_mean,Box-F1_D00,Box-F1_D10,Box-F1_D20,Box-F1_D40
150ep_bch_32,long_runs,0.5745300000000001,0.56949,0.56213,0.6719,0.4946,0.29858250000000003,0.31802,0.2838,0.3648,0.22771,0.64364,0.65748,0.62516,0.68892,0.603,0.5160724999999999,0.52084,0.51242,0.62339,0.40764,0.57135,0.58124,0.5632,0.65452,0.48644
150ep_bch_8,long_runs,0.558535,0.55044,0.54649,0.66869,0.46852,0.29080249999999996,0.30471,0.26971,0.37018,0.21861,0.6202325000000001,0.61771,0.58818,0.69064,0.5844,0.514885,0.51931,0.51794,0.61465,0.40764,0.5614475,0.56425,0.55083,0.65043,0.48028
150ep_crop,long_runs,0.5679375,0.56615,0.56717,0.66516,0.47327,0.293845,0.31725,0.27881,0.3612,0.21812,0.640765,0.64012,0.61384,0.68725,0.62185,0.5231974999999999,0.52887,0.53231,0.63352,0.39809,0.5735250000000001,0.5792,0.57018,0.65929,0.48543
150ep_degrees,long_runs,0.54259,0.55062,0.5002,0.65375,0.46579,0.26569750000000003,0.28886,0.22048,0.34302,0.21043,0.6124525,0.61005,0.56604,0.67923,0.59449,0.49961249999999996,0.51358,0.49218,0.59116,0.40153,0.548915,0.55767,0.52653,0.63214,0.47932
150ep_flipup,long_runs,0.565455,0.5622,0.57166,0.66929,0.45867,0.293025,0.31427,0.28661,0.36491,0.20631,0.6305525000000001,0.62849,0.61027,0.69163,0.59182,0.51113,0.50979,0.52004,0.62615,0.38854,0.5627175,0.56295,0.56156,0.65726,0.4691
150ep_hsv,long_runs,0.5691999999999999,0.5624,0.56563,0.67447,0.4743,0.29315749999999996,0.3126,0.28035,0.36477,0.21491,0.6456525,0.63414,0.6234,0.68755,0.63752,0.5215350000000001,0.52428,0.52162,0.6326,0.40764,0.5745549999999999,0.574,0.56799,0.65893,0.4973
150ep_imgsz_320,long_runs,0.4491725,0.42188,0.45216,0.58439,0.33826,0.22220499999999999,0.21952,0.21818,0.30931,0.14181,0.571175,0.55785,0.53052,0.62018,0.57615,0.42910000000000004,0.41415,0.45538,0.55249,0.29438,0.4848775000000001,0.47538,0.49009,0.58438,0.38966
150ep_imgsz_400,long_runs,0.51658,0.47932,0.52661,0.63714,0.42325,0.2580175,0.25554,0.25607,0.33985,0.18061,0.610635,0.59456,0.56375,0.65223,0.632,0.48347000000000007,0.44918,0.51239,0.60129,0.37102,0.53547,0.51175,0.53685,0.62572,0.46756
150ep_imgsz_480,long_runs,0.5325075,0.51158,0.53866,0.65838,0.42141,0.2720625,0.27898,0.26935,0.35326,0.18666,0.6078250000000001,0.60278,0.57985,0.65565,0.59302,0.50183,0.48642,0.51794,0.61602,0.38694,0.5472675,0.53839,0.54715,0.63522,0.46831
150ep_lr0_half,long_runs,0.5679375,0.56615,0.56717,0.66516,0.47327,0.293845,0.31725,0.27881,0.3612,0.21812,0.640765,0.64012,0.61384,0.68725,0.62185,0.5231974999999999,0.52887,0.53231,0.63352,0.39809,0.5735250000000001,0.5792,0.57018,0.65929,0.48543
150ep_no_drone,long_runs,0.643065,0.61374,0.60118,0.77078,0.58656,0.36023,0.36865,0.30778,0.47637,0.28812,0.7017425,0.68527,0.65321,0.77108,0.69741,0.5722375000000001,0.55453,0.54554,0.70442,0.48446,0.6288849999999999,0.61301,0.59454,0.73624,0.57175
150ep_normal,long_runs,0.5679375,0.56615,0.56717,0.66516,0.47327,0.293845,0.31725,0.27881,0.3612,0.21812,0.640765,0.64012,0.61384,0.68725,0.62185,0.5231974999999999,0.52887,0.53231,0.63352,0.39809,0.5735250000000001,0.5792,0.57018,0.65929,0.48543
150ep_scale_trans_off,long_runs,0.567715,0.56095,0.56646,0.66171,0.48174,0.294315,0.31055,0.28623,0.36527,0.21521,0.6210525,0.62104,0.60025,0.66502,0.5979,0.526985,0.51434,0.5345,0.63076,0.42834,0.568675,0.56268,0.56547,0.64744,0.49911
180ep_degrees,long_runs,0.5526599999999999,0.55312,0.52141,0.65708,0.47903,0.2677975,0.29081,0.23163,0.33494,0.21381,0.6235950000000001,0.61451,0.5741,0.689,0.61677,0.5051825000000001,0.50822,0.49494,0.60037,0.4172,0.55682,0.55633,0.53159,0.64164,0.49772
180ep_normal,long_runs,0.5716749999999999,0.56278,0.57095,0.67147,0.4815,0.2960325,0.31431,0.28361,0.367,0.21921,0.6243724999999999,0.61025,0.59417,0.66958,0.62349,0.5333675,0.5335,0.55198,0.64191,0.40608,0.57222,0.5693,0.5723,0.65545,0.49183
1st_150ep,long_runs,0.6890075,0.66603,0.6716,0.81024,0.60816,0.39564249999999995,0.4036,0.35782,0.51947,0.30168,0.706395,0.69968,0.68366,0.76517,0.67707,0.6098650000000001,0.60803,0.59154,0.73511,0.50478,0.6532775,0.65064,0.63427,0.74984,0.57836
250ep,long_runs,0.6894425,0.66477,0.66857,0.82113,0.6033,0.396485,0.40501,0.35899,0.52365,0.29829,0.7008325,0.69599,0.66911,0.7584,0.67983,0.627445,0.6088,0.61017,0.75322,0.53759,0.6609900000000001,0.64948,0.63828,0.7558,0.6004
90ep,long_runs,0.6348475,0.6161,0.62333,0.75884,0.54112,0.3513725,0.36338,0.32709,0.45166,0.26336,0.6675725,0.65495,0.63773,0.73845,0.63916,0.5759525,0.57247,0.56486,0.68877,0.47771,0.6173825000000001,0.61094,0.59909,0.71274,0.54676
opt_150ep_RMSProp,optimizers,0.000695,0.00001,0.0,0.00277,0.0,0.0001575,0.0,0.0,0.00063,0.0,0.0003325,0.00002,0.0,0.00131,0.0,0.0982575,0.00076,0.0,0.39227,0.0,0.000665,0.00004,0.0,0.00262,0.0
